request;type;Parameters;response;Comments
modifyServiceFromHost;POST;[hostName, service=array(), exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";modify the given service with the given columnName => value (ie bellow)
modifyCommand;POST;"[commandName,newCommandName="""",commandLine,commandDescription=""""]";"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs"",""changes"":numerOfchanges]";modify a command to Nagios. returncode=0 or 1 if failed or nothing change
modifyNagiosRessources;POST;[ressources];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";"modify ressources represented in nagios by $USERi$, you passed an collection of ""Useri"":""value"" or """" if you want to remove a ressource an example is given bellow"
modifyCheckCommandToServiceTemplate;POST;[commandName, templateServiceName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";modify Modify the check command associate with the given service template. returnCode=0 for data updated and 1 if it has failed
modifyCheckCommandToHostTemplate;POST;[commandName, templateHostName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Modify the check command associate with the given host template. returnCode=0 for data updated and 1 if it has failed
modifyNagiosMainConfiguration;POST;[requestConf, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Modify The Nagios global configuration. See bellow the different parameter that you can changed.
modifyNotifierTimeperiod;POST;[timeperiod_name,new_timeperiod_name=NULL, timeperiod_days=NULL, timeperiod_hours_notifications=NULL];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Modify The timeperiod of advanced notification (Notifier module) .
modifyNotifierMethod;POST;[method_name,method_type,new_method_name=NULL, change_type=NULL, method_line=NULL];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Modify a method of advanced notification (Notifier module) .
modifyNotifierRule;POST;[rule_name, rule_type, new_rule_name=NULL, change_type=NULL, rule_timeperiod=NULL, add_rule_method=NULL, delete_rule_method=NULL, rule_contact=NULL, rule_debug=NULL, rule_host=NULL, rule_service=NULL, rule_state=NULL, rule_notificationNumber=NULL,rule_tracking=NULL];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Modify a rule of advanced notification menu (Notifier module) .
deleteContact;POST;[contactName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete the given contact
deleteHostDowntime;POST;[idDowntime];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete nagios host downtime.
deleteServiceDowntime;POST;[idDowntime];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete nagios service downtime.
deleteContactGroup;POST;[contactGroupName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete the given contact Group
deleteService;POST;[serviceName, hostName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete the given service
deleteServiceByHostTemplate;POST;[serviceName, hostTemplateName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete the given service
deleteServiceTemplate;POST;[templateName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete the given Service template
deleteCommand;POST;[commandName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a command to Nagios.
deleteHost;POST;[hostName, exportConfiguration];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a nagios host.
deleteContactGroupToContact;POST;[contactName, contactGroupName, exportConfiguration];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete a contact group to a nagios contact.
deleteContactNotificationCommandToContact;POST;[contactName, commandName, exportConfiguration];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete a contact notification command to a nagios contact.
deleteServiceGroupToServiceInHost;POST;[serviceGroupName, serviceName, hostName, exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete a service group in the given service of the specified host.
deleteContactToServiceInHost;POST;[contactName, serviceName, hostName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a contact in the given service of the specified host.
deleteContactGroupToServiceInHost;POST;[contactGroupName, serviceName, hostName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a contact group in the given service of the specified host.
deleteServiceTemplateToServiceInHost;POST;[templateServiceName, serviceName, hostName];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a service template in the given service of the specified host.
deleteHostGroupToHostTemplate;POST;[hostGroupName, templateHostName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a Host group in the given Host Template. returncode=0 or 1 if failed
deleteContactToHostTemplate;POST;[contactName, templateHostName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a Contact in the given Host Template. returncode=0 or 1 if failed
deleteContactGroupToHostTemplate;POST;[contactGroupName, templateHostName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a Contact group in the given Host Template. returncode=0 or 1 if failed
deleteInheritanceTemplateToHostTemplate;POST;[inheritanceTemplateName, templateHostName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a inherited template in the given Host Template. returncode=0 or 1 if failed
deleteInheritServiceTemplateToServiceTemplate;POST;[inheritanceTemplateName, templateServiceName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a inherited Service template in the given service Template. returncode=0 or 1 if failed
deleteContactGroupToServiceTemplate;POST;[contactGroupName, templateServiceName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a contact group in the given service Template. returncode=0 or 1 if failed
deleteContactToServiceTemplate;POST;[contactName, templateServiceName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a contact in the given service Template. returncode=0 or 1 if failed
deleteServiceGroupToServiceTemplate;POST;[serviceGroupName, templateServiceName, exportConfiguration=FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Delete a service group in the given service Template. returncode=0 or 1 if failed
deleteCustomArgumentsToService;POST;[serviceName,hostName,customArguments, exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete customs arguments to a service. returncode=0 or 1 if failed or didn't changed
deleteCustomArgumentsToServiceTemplate;POST;[templateServiceName,customArguments, exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete customs arguments to a service template. returncode=0 or 1 if failed or didn't changed
deleteCustomArgumentsToHostTemplate;POST;[templateHostName,customArguments, exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete customs arguments to a host template. returncode=0 or 1 if failed or didn't changed
deleteCustomArgumentsToHost;POST;[hostName,customArguments, exportConfiguration = FALSE];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete customs arguments to a host. returncode=0 or 1 if failed or didn't changed
deleteCheckCommandParameterToServiceTemplate;POST;[templateServiceName, parameters];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete command parameter to a Service template. returncode=0 or 1 if failed or didn't changed /!\parameters is a list
deleteCheckCommandParameterToServiceInHost;POST;[serviceName, hostName, parameters];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete command parameter to a Service of a specified host. returncode=0 or 1 if failed or didn't changed /!\ parameters is a list
deleteCheckCommandParameterToHostTemplate;POST;[templateHostName, parameters];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";delete command parameter to host template. returncode=0 or 1 if failed or didn't changed /!\ parameters is a list
exporterNotifierConfig;POST;[****];"""http_code"": ""200 OK"", ""result"": [""code"":returnCode,""description"":""logs""]";Write configuration in the nagios file. It export the configuration of advance notification.
